id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5077568724667674,OwxUQjAh4,2079751412,辽宁共青团,【#悟空承载着共同的儿时梦想和文化追求#】近日，《黑神话：悟空》掀起的旋风刮到了宝岛台湾地区，不仅大受岛内青年等群体追捧，岛内舆论还希望两岸共同挖掘中华文化宝藏。“悟空”上得“台”面，丝毫不奇怪。两岸同胞同根同源、同文同种，中华文化是两岸同胞心灵的根脉和归属，是两岸同胞共同的宝贵财富。事实一再证明，流淌在广大台湾同胞血液里的中国文化基因，是“台独”势力怎么搞“去中国化”都改变不了的。“台独”即“台毒”、“反中”则反智，这样的荒诞剧该剧终了。L央视新闻的微博视频,,,,悟空承载着共同的儿时梦想和文化追求,1,0,0,2024-09-11 23:56,微博视频号,,"http://f.video.weibocdn.com/o0/ykH2Xw9Hlx08hWuw23LO01041200raak0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1Cx9YB1mmR49jS&Expires=1726078656&ssig=NeO60cZ%2Fvg&KID=unistore,video",,,蓝V
5077554532717501,OwxxXboWF,3634080191,文明江西,【少林#武僧演绎游戏场景中的中国功夫#】#中国功夫的魅力有多大#少林寺武僧再现《黑神话：悟空》中国功夫！网友直呼：这才是“天命人”！L新华网的微博视频,,,,"武僧演绎游戏场景中的中国功夫,中国功夫的魅力有多大",0,0,0,2024-09-11 23:00,微博视频号,,"http://f.video.weibocdn.com/o0/VQL3ehnBlx08hVuEIVTq01041200rQjz0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078722&ssig=JLqEN7fD7k&KID=unistore,video",,,蓝V
5077554520394929,OwxxW1EJP,1921458685,_Cpy品烨,今日进展，广智拿下比蓝色大头好打#黑神话悟空#,,,,黑神话悟空,0,1,0,2024-09-11 22:59,iPhone客户端,"https://wx2.sinaimg.cn/large/728721fdgy1htk664y3vgj22yo1o01kz.jpg,https://wx1.sinaimg.cn/large/728721fdgy1htk66zk6obj22yo1o0x6v.jpg,https://wx2.sinaimg.cn/large/728721fdgy1htk65qovqwj22yo1o07wi.jpg",,,福建,普通用户
5077554392991073,OwxxJcy77,6799098809,仲夏晚晴xw,#微博头像挂件#我正在使用“黑神话悟空”头像挂件，你也快来戴上试试吧~O头像挂件：黑神话悟空,,,,微博头像挂件,0,1,0,2024-09-11 22:59,微博会员中心,,,,河北,普通用户
5077553876571160,OwxwTrzss,3073266595,中医致君,黑神话悟空超话二周目以截图为主要玩法,,,,,0,0,0,2024-09-11 22:57,黑神话悟空超话,https://wx3.sinaimg.cn/large/b72e53a3ly1htk645gbw0j21hc0u0ki5.jpg,,,北京,普通用户
5077553796615608,OwxwLrL1m,6020550621,沉着冷静点了,#微博卡片背景#我正在使用#黑神话悟空#会员专属卡片背景，你也快带上吧！O卡片背景：黑神话悟空,,,,"微博卡片背景,黑神话悟空",0,0,0,2024-09-11 22:57,微博会员中心,,,,辽宁,普通用户
5077553704339879,OwxwCid03,2163493580,真正的七七公主,走我带你去看山外青山#黑神话悟空#,,武汉,,黑神话悟空,0,1,0,2024-09-11 22:56,iPhone 15 Pro,https://wx2.sinaimg.cn/large/80f44accgy1htk62ytgfdj22yo25i4qr.jpg,,,湖北,普通用户
5077553637755441,OwxwvwxxL,6335491131,西瓜2221,浮躁的世界里，那就做自己吧～#只此青绿##黑神话悟空#,,,,"只此青绿,黑神话悟空",0,4,3,2024-09-11 22:56,iPhone 14 Pro Max,https://wx1.sinaimg.cn/large/006UL4EPgy1htk5iftyv4j30t40scdie.jpg,,,浙江,黄V
5077553457144065,OwxwdtYuR,5508734253,嗨氏,猴头留着下酒！开箱《黑神话悟空》中秋月饼礼盒嗨氏超话#嗨氏##黑神话悟空#L嗨氏的微博视频,,,,"嗨氏,黑神话悟空",0,1,11,2024-09-11 22:55,嗨氏超话,,"http://f.video.weibocdn.com/o0/KSH7h7Avlx08hWvUT28U010412025Hi20E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078722&ssig=b2aR9TXnEe&KID=unistore,video",,四川,红V
5077553302211555,OwxvY9hkf,6605121767,菲菲不肥ovo,跟着黑神话悟空游山西——云冈石窟站,,大同·云冈石窟,,,0,0,0,2024-09-11 22:55,iPhone客户端,"https://wx2.sinaimg.cn/large/007d0pU3ly1htk5zbdevej30u00u0tff.jpg,https://wx2.sinaimg.cn/large/007d0pU3ly1htk5zbmg71j30u0140n41.jpg,https://wx3.sinaimg.cn/large/007d0pU3ly1htk5zb1dpxj30u0140wwn.jpg,https://wx4.sinaimg.cn/large/007d0pU3ly1htk5zcaod4j30u0140to6.jpg,https://wx3.sinaimg.cn/large/007d0pU3ly1htk5zbyy19j30u0140as4.jpg,https://wx2.sinaimg.cn/large/007d0pU3ly1htk5zedz5mj30u01407od.jpg,https://wx4.sinaimg.cn/large/007d0pU3ly1htk5zd7gnaj30u01407me.jpg,https://wx4.sinaimg.cn/large/007d0pU3ly1htk5zdzx40j30u0140dyr.jpg,https://wx3.sinaimg.cn/large/007d0pU3ly1htk5zdmsxvj30u014046e.jpg",,,山西,普通用户
