id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
4985522285972473,NzSPap3Id,6296198133,Theicewolf冰狼,黑神话悟空超话越涧称王妙。问道求仙奥。天兵何所挫，雷将亦非高。妖魔付谈笑，画皮怎声傲。志远心见悟，功神棒名豪。英雄扬善操，万里难称遥。扫尽天下浊，凭我美名照。,,,,,0,0,3,2024-01-01 23:56,黑神话悟空超话,,,,天津,普通用户
4985517202740624,NzSGYbuXC,1969668547,Witchking_of_Minas_Isil,小时候读希腊神话看到白银一代的缺点是“幼稚”，说他们白发苍苍才成熟起来，完全不理解这是怎么一回事，现在似乎可以给出一些解释。“唯年轻算好时光“的逻辑导致一群人不断在穿衣和思想方面朝着比自己小十岁去，比如二十五六岁的人非要穿成”JK“才能心情舒畅，三十五六岁又觉得自己仍然很年轻应该可以和二十五六岁的一起玩，然而二十五六岁的人可能一边装成JK，一边还认为那些一目了然就是三十五六岁的其实和自己也没什么区别吗？不想叫声大妈大爷都算是顾及体面了吧？而白发苍苍之后，才算明白装是没用的，该怎样就怎样。我只是还读不懂之后的青铜一代，这时代说是出现了不少有趣的英雄。为什么会接在白银之后呢？最后的黑铁……既然说黑铁一代昏天黑地，那青铜应当算是“中兴”的一种概念吧。,,,,,0,0,2,2024-01-01 23:36,微博网页版,,,,北京,普通用户
4985516376196330,NzSFDpZWO,6773979144,韩叔备用号,节后股市给大家几个方向：如果是就看节后短期爆发力比较强的市场的话：第一个就是部分中字头股票调整结束了，中船系是最先调整结束的，而且这波中船系很大可能会走出新高的行情；第二个就是强者恒强的体系，目前资金比较聚焦在光学光电子和消费电子这一块，如果节后第一天低开，或者是下跌，是买入的好机会，现在流行涨一天跌一天。还有就是汽车和零部件两个，依旧是重点方向，因为这个产业体系是实打实的有业绩支撑，不管是对外出口还是对内销售，业绩都是杠杠的。如果是看长期市场的话，机会也不少：第一个就是低市盈率，低股价，高股息的股票，逢低买入吃股息，耐心等爆发，会不会爆发？大部分的垃圾股最后都爆发了，更何况蓝筹股，只是时间问题；第二个就是找周期翻转的股票，已经跌了很久，业绩比较差且不可能永远差下去的行业，买入，耐心等。主号：@黑神话韩叔小号：@韩叔备用号,,,"黑神话韩叔,韩叔备用号",,1,3,51,2024-01-01 23:33,微博网页版,,,,北京,普通用户
4985482624370200,NzRNcikT6,3289602161,预见者0731,繁花电影不像电影电视剧不像电视剧，整个画面一片黑，运镜和音乐剧情节奏完全是割裂的！要么镜头从下往上推，要么左右推，虚化镜头慢镜头，看着头晕眼花！王家卫为了拍成他的风格而拍，矫揉造作！他这样的正好代表着现在香港的大多数，思维还停留在上世纪90年代自以为是固步自封。也就上海那边媚外重还拿他当回事，同样用的上海演员，徐峥拍的电影爱情神话那才叫真正把上海的味道拍出来了而且拍得很好！我一个特别反感上海的人都看进去了甚至觉得很有意思！,,,,,0,0,0,2024-01-01 21:19,HUAWEI Mate 40 Pro,,,,湖南,普通用户
4985473833896034,NzRz1glxg,7367211482,可爱大显卡,价格规模定位跟《完蛋》差不多的有很多独立游戏，中国是有很多优秀独立游戏的，卖的不错的也不算少。《完蛋》对部分要面子的国单玩家的短暂感受不利，对国单市场长远发展有一定好处。如果《黑神话》打出一条可复制的成功路，《黑神话》对国单来说犹如天降甘霖，但是《黑神话》简直不可复制最需要的其实是能在一年内回本的，水平不比《古剑3》弱的游戏有个矛盾点在于《黑神话》目前尚未发售如果《黑神话》商业上成功，且制作水平即使没那么高也没被喷，评价中肯社区和谐，那么1000个完蛋也不如黑神话如果《黑神话》出现商业上没回本，或者回本后却被原友，原黑，3A云以及米线山等贴吧“游戏领域大神”，各大营销号疯狂炒作，被互联网搞成恶臭烂梗，那即使黑神话确实是个好游戏（我会买《黑神话》不会买《完蛋》），对国单的长远发展也是不利的，影响比完蛋要坏。#黑神话悟空##国产单机游戏#,,,,"黑神话悟空,国产单机游戏",0,0,0,2024-01-01 20:44,微博网页版,,,,四川,普通用户
4985464731211580,NzRkl55bC,1893905030,游侠网,央视网最近发布了视频「全是彩蛋全是梗！200+彩蛋诚意回顾2023年」，其中提到了诸多游戏界的热点话题，例如《#黑神话悟空#》《塞尔达传说：王国之泪》《#原神#》《生化危机4重制版》等。视频还不忘调侃「暴雪绿茶」事件，而在视频的结尾，甚至还提到了「GTA6官宣」。L游侠网的微博视频,,,,"黑神话悟空,原神",22,8,51,2024-01-01 20:08,微博视频号,,"http://f.video.weibocdn.com/o0/wMxQ5Xsalx08bp6t1ZTO01041203W7dV0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1726078348&ssig=tAw8GofaqW&KID=unistore,video",,,蓝V
4985435433993700,NzQz5gKWw,5863494075,风流倜傥潇洒猪201602,黑神话悟空超话发帖打卡,,,,,0,0,3,2024-01-01 18:11,黑神话悟空超话,,,,湖北,普通用户
4990584789929535,NC0wuFF7N,7868436525,肉食主义玩家,昨天在主创杨奇社交平台的评论区有玩家问及春节demo的事情，杨奇回应到不急这会，但按照惯例今年春节还是会有贺岁整活视频供玩家解馋#黑神话悟空#,,,,黑神话悟空,1,0,8,2024-01-15 23:13,黑神话悟空超话,"https://wx2.sinaimg.cn/large/008Av9Mxgy1hlupuop801j30v4084wf9.jpg,https://wx1.sinaimg.cn/large/008Av9Mxgy1hlupupb531j30zk0ja0vk.jpg,https://wx1.sinaimg.cn/large/008Av9Mxgy1hlupuqfjlzj30u00mjwgh.jpg",,,浙江,黄V
4990578905843755,NC0n0owe7,1732589620,画画的三哥,黑神话悟空超话这张小眼神挺喜欢的，渐渐不是黑神话造型了#绘画#,,,,绘画,1,2,34,2024-01-15 22:49,黑神话悟空超话,https://wx1.sinaimg.cn/large/67453834ly1hlup538ucrj21ww2pg1ky.jpg,,,上海,普通用户
4990544281863321,NBZta7OJz,1969176463,游民星空,【国外博主：《黑神话》能和欧美3A掰腕子】巴西游戏油管主DetonandoGueek使用专业软件测出了《#黑神话悟空#》BOSS靡道人的动作序列帧数量，在同样17秒的战斗中，《黑神话》的动作(move)有155000，已经高于《星球大战绝地：幸存者》的153000，次于《战神：诸神黄昏》的163000。靡道人在《黑神话：悟空》中只能算是小BOSS，游戏科学能为之投入如此之多资源，相信本作的正式版动作体验估计也能和国际上的3A游戏齐头并进。,,,,黑神话悟空,16,70,219,2024-01-15 20:32,微博网页版,"https://wx3.sinaimg.cn/large/755f3f8fly1hlul50bni8j21650nmtdq.jpg,https://wx1.sinaimg.cn/large/755f3f8fly1hlul50e2nsj21680ntgqr.jpg,https://wx2.sinaimg.cn/large/755f3f8fly1hlul67lfigj20zk0k0acx.jpg",,,河北,金V
